nta_name,nta_code,borough,in_labor_force,civilian_labor_force,employed,unemployed,armed_forces,not_in_labor_force,workers_16+,vehicle,carpool,public_transit,walking,other_commuting_means,work_at_home,mean_commuting_time_(min),occ_civilian_employed_16+,mng_biz_sci_arts,service,sales_office,natres_construct_maint,prod_transport_moving,class_civilian_employed_16+,salary_workers,govt_workers,self-employed,unpaid_family_workers,total_households,hincome_10K_under,hincome_10K_15K,hincome_15K_25K,hincome_25K_35K,hincome_35K_50K,hincome_50K_75K,hincome_75K_100K,hincome_100K_150K,hincome_150K_200K,hincome_200K_more,median_hincome,mean_hincome,median_earnings,median_earnings_male,median_earnings_female,all_families,all_families_below_poverty,pop_poverty_status_determ,pop_below_poverty
Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,36355,36344,33360,2984,11,19911,32754,4409,925,23446,1882,807,1285,44.6,33360,13440,9215,6707,1662,2336,33360,25959,5453,1943,5,27232,2764,1643,2454,3005,3784,4509,3236,3245,1377,1215,49827.0,72416.0,37078.0,44402.0,44976.0,15065,2251,67725,13562
Rugby-Remsen Village,BK96,Brooklyn,28018,28018,25867,2151,0,16829,25226,6367,973,15581,1178,262,865,48.2,25867,7675,8778,5023,2117,2274,25867,18693,5630,1505,39,21004,1852,1228,2491,2241,2804,3704,2283,2788,863,750,49335.0,65997.0,35148.0,45115.0,42863.0,13150,1764,53992,8742
Seagate-Coney Island,BK21,Brooklyn,11879,11879,10350,1529,0,13410,10016,2608,509,5655,850,124,270,47.9,10350,2642,2886,2543,892,1387,10350,8010,1841,494,5,11454,1665,1894,1855,1271,1195,1279,668,1060,279,288,27818.0,49756.0,25839.0,39892.0,41759.0,7727,2301,31444,10858
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,32924,32882,30632,2250,42,21853,29826,9568,2657,14165,1715,434,1287,47.7,30632,13480,6078,5984,2255,2835,30632,23806,5298,1513,15,25741,1741,1976,2506,2111,2914,3763,3027,3848,1967,1888,59576.0,84027.0,41166.0,57204.0,53278.0,17150,1991,65115,9350
Starrett City,BK93,Brooklyn,5133,5133,4711,422,0,5497,4314,1195,79,2636,355,32,17,56.0,4711,1392,1510,1062,144,603,4711,2852,1762,97,0,6629,781,1239,1200,658,998,1018,435,215,40,45,26528.0,37060.0,33483.0,43136.0,45277.0,3281,803,12934,3757
Stuyvesant Heights,BK35,Brooklyn,35823,35810,32482,3328,13,20963,32006,4982,743,22332,1296,1414,1239,45.2,32482,13108,7971,7177,1490,2736,32482,25227,5285,1970,0,26566,3245,2274,2533,2529,2975,3756,3081,3298,1322,1553,48226.0,72918.0,36342.0,48380.0,44491.0,14741,3074,68908,17035
Sunset Park East,BK34,Brooklyn,32492,32492,30721,1771,0,18096,29227,3071,2489,17239,5145,677,606,43.9,30721,5893,11815,6186,2466,4361,30721,26973,1959,1721,68,19103,1168,1579,2665,2170,2734,3531,1888,2014,716,638,44939.0,62320.0,21227.0,29812.0,32670.0,14694,3940,66128,20105
Sunset Park West,BK32,Brooklyn,27929,27929,25888,2041,0,15946,25343,2433,1180,17131,3106,925,568,42.3,25888,7678,7240,4679,2544,3747,25888,22091,1967,1808,22,16590,1179,1094,1905,1509,2152,2946,1923,2005,741,1136,53359.0,76037.0,27503.0,36753.0,43344.0,11190,2501,52237,13394
West Brighton,BK23,Brooklyn,7945,7945,7587,358,0,7214,7344,2005,346,3999,725,87,182,44.1,7587,2990,1786,1665,418,728,7587,5920,1179,462,26,8390,596,1013,1157,747,1156,1342,1000,732,383,264,42906.0,61129.0,35949.0,53169.0,48332.0,4850,401,16774,2171
Williamsburg,BK72,Brooklyn,9361,9361,8997,364,0,9487,8813,1327,530,1905,4454,129,468,22.3,8997,3374,1248,3297,290,788,8997,8338,368,268,23,8258,809,1331,1715,1111,959,808,610,411,197,307,27920.0,53509.0,20717.0,36035.0,35109.0,7024,3170,34018,17439
Windsor Terrace,BK40,Brooklyn,12900,12891,12466,425,9,4985,12260,1410,328,8301,885,456,880,41.7,12466,8781,1315,1650,238,482,12466,9125,2001,1340,0,9281,439,242,465,449,623,1127,1349,1807,1028,1752,99007.0,143550.0,62119.0,89057.0,73920.0,5374,270,22751,1687
Battery Park City-Lower Manhattan,MN25,Manhattan,31373,31373,30307,1066,0,7631,29888,1372,324,16266,8843,1297,1786,26.0,30307,22601,1439,5774,306,187,30307,27366,1645,1282,14,21823,1097,366,670,409,739,1535,1511,3862,2877,8757,162555.0,214165.0,98642.0,100000.0,93897.0,9373,338,44606,3044
Central Harlem North-Polo Grounds,MN03,Manhattan,44241,44241,39050,5191,0,25182,38222,3737,750,27747,3202,931,1855,38.0,39050,15977,9687,8218,1745,3423,39050,29639,7306,2077,28,36595,4405,4024,4522,3265,3760,5665,3677,3917,1503,1857,42844.0,71178.0,36928.0,54031.0,49833.0,17791,4162,85689,23203
Central Harlem South,MN11,Manhattan,27508,27508,25764,1744,0,14662,25369,1553,415,19510,1675,654,1562,35.8,25764,13332,5113,4905,647,1767,25764,20316,3865,1566,17,20268,2589,1884,1253,1408,2043,2445,1970,2834,1394,2448,58074.0,99074.0,44833.0,62983.0,53038.0,9960,2016,50566,12101
Chinatown,MN27,Manhattan,22120,22120,20560,1560,0,17520,20115,1079,816,9598,6168,1320,1134,31.0,20560,9075,4968,4167,719,1631,20560,16818,1482,1916,344,18466,2299,1996,2653,1750,1767,2323,1765,1715,930,1268,38915.0,71131.0,34400.0,55553.0,51651.0,9322,2197,42243,11190
Clinton,MN15,Manhattan,35983,35983,33950,2033,0,10765,33500,1545,266,15428,11670,2142,2449,27.9,33950,22689,3650,5997,839,775,33950,29584,1630,2736,0,28685,2159,1618,2238,2070,2115,2997,2820,4240,2937,5491,85154.0,130078.0,70253.0,100000.0,76177.0,7373,677,49628,7759
East Harlem North,MN34,Manhattan,26340,26323,23920,2403,17,24032,23668,1898,406,17346,2499,586,933,36.4,23920,7838,6984,5987,809,2302,23920,19121,3793,933,73,25172,4800,3140,3368,2515,2788,3420,2022,1623,631,865,30241.0,52105.0,30329.0,39066.0,48292.0,13852,4551,62308,23052
East Harlem South,MN33,Manhattan,28549,28529,25636,2893,20,21695,25091,1542,232,17299,4088,775,1155,35.1,25636,11831,5380,6023,875,1527,25636,21251,2802,1558,25,24813,3513,2788,3351,2078,2599,3407,2344,1899,1077,1757,38471.0,78355.0,36114.0,53958.0,51641.0,12770,3227,57170,16882
East Village,MN22,Manhattan,27379,27379,25877,1502,0,13278,25449,1141,206,13647,6248,2521,1686,28.0,25877,17481,2921,4641,248,586,25877,22050,1444,2383,0,21725,1880,1124,1518,1829,1512,2760,2224,3446,1756,3676,77691.0,118140.0,62054.0,93912.0,73252.0,5589,543,37633,6485
Gramercy,MN21,Manhattan,18711,18600,17594,1006,111,6509,17646,688,219,9717,4656,1098,1268,25.7,17594,12846,968,3265,300,215,17594,15333,1105,1156,0,13792,622,391,688,588,685,1463,1407,2189,1666,4093,121208.0,185239.0,88084.0,100000.0,96536.0,3698,117,24036,2157
Hamilton Heights,MN04,Manhattan,31725,31725,29623,2102,0,12570,28695,1748,630,22197,1451,923,1746,39.7,29623,10856,8979,6084,1419,2285,29623,24335,2739,2537,12,19472,1805,1373,1992,2107,2237,3164,2341,2405,1028,1020,51441.0,72196.0,31218.0,41054.0,43382.0,9638,2093,52462,12348
Hudson Yards-Chelsea-Flat Iron-Union Square,MN13,Manhattan,53269,53238,51002,2236,31,16837,50306,2348,520,26729,14303,3534,2872,26.9,51002,34703,4361,10407,327,1204,51002,43864,3127,4003,8,43484,3131,1637,2697,1871,2363,4412,3559,6653,4263,12898,114710.0,189927.0,90085.0,100000.0,95378.0,13409,919,75475,9129
Lenox Hill-Roosevelt Island,MN31,Manhattan,49662,49596,48458,1138,66,19874,47589,3969,1088,24203,12218,3178,2933,30.2,48458,34386,2357,10207,614,894,48458,42477,3067,2808,106,42259,2026,769,2045,1577,2397,5609,4994,6990,4143,11709,111563.0,184460.0,82684.0,100000.0,88513.0,17157,457,79331,4950
Lincoln Square,MN14,Manhattan,37369,37369,35866,1503,0,17071,35049,2120,573,19694,6625,3079,2958,29.7,35866,25970,1634,7372,69,821,35866,30677,1898,3203,88,33700,1895,1058,1635,1547,1341,2907,2957,5381,3611,11368,130237.0,218554.0,100000.0,100000.0,100000.0,13744,709,61197,5101
Lower East Side,MN28,Manhattan,30126,30126,28177,1949,0,29264,27710,1445,775,16501,5994,2261,734,34.4,28177,12842,6939,6010,588,1798,28177,22622,3594,1822,139,31641,5232,4524,4502,2524,3420,3416,1751,3057,1159,2056,31278.0,63782.0,40324.0,55647.0,54317.0,14733,4176,68077,21002
Manhattanville,MN06,Manhattan,12024,12024,11293,731,0,7914,10954,770,8,8550,795,158,673,39.5,11293,4089,3351,2560,439,854,11293,9023,1514,717,39,8498,1514,1047,808,825,1089,891,850,846,347,281,35611.0,55639.0,28772.0,43339.0,35841.0,4529,1133,23597,6819
Marble Hill-Inwood,MN01,Manhattan,28344,28317,25943,2374,27,14896,25020,2453,719,17083,2463,756,1546,43.1,25943,9152,8299,4630,1326,2536,25943,20990,3303,1632,18,19706,1995,1414,2557,1928,1864,3338,2749,2311,690,860,50627.0,64581.0,29530.0,42036.0,41871.0,11459,2234,52739,11287
Midtown-Midtown South,MN17,Manhattan,18672,18665,17903,762,7,7279,17670,500,184,7360,7307,853,1466,23.5,17903,13321,1051,3018,243,270,17903,15656,927,1320,0,15743,1274,605,885,624,906,1001,1284,2162,1793,5209,130486.0,194326.0,94841.0,100000.0,94030.0,4658,172,26363,2886
Morningside Heights,MN09,Manhattan,23763,23745,22315,1430,18,24079,21743,1378,282,12188,5380,1086,1429,30.7,22315,14337,2872,3766,425,915,22315,18751,1780,1750,34,19186,2788,1257,1520,1461,1454,2337,1654,2314,1160,3241,62311.0,117882.0,38767.0,82841.0,61570.0,8646,931,42960,9224
